🇨🇳港澳台一,#genre#

凤凰资讯台,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
凤凰中文台,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226317/index.m3u8
凤凰资讯台,http://103.95.24.37:880/fhzx.m3u8
凤凰中文台,https://lsj.37o.xyz/histar.php?id=phtv-cn
凤凰中文台,http://113.64.145.195:8081/hls/37/index.m3u8
凤凰资讯台,http://111.224.101.19:4022/rtp/239.254.201.3:5227
凤凰中文台,http://111.224.101.19:4022/rtp/239.254.201.2:5226
凤凰资讯台,http://113.64.145.195:8081/hls/36/index.m3u8
凤凰香港台,http://113.64.145.195:8081/hls/38/index.m3u8
凤凰资讯台,http://113.64.145.93:8081/hls/36/index.m3u8
凤凰中文台,http://113.64.145.93:8081/hls/37/index.m3u8
凤凰香港台,http://113.64.145.93:8081/hls/38/index.m3u8
凤凰资讯台,http://103.95.24.37:880/fhzx.m3u8
凤凰资讯台,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯台,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰中文台,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰中文台,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰资讯台,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰资讯台,http://103.95.24.37:880/fhzx.m3u8
凤凰中文台,http://103.95.24.37:880/fhws.m3u8
凤凰中文台,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰资讯台,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰资讯台,https://tv.sd.cn/sichuan?id=239.93.0.118:2191
凤凰中文台,https://tv.sd.cn/sichuan?id=239.93.0.162:2192
凤凰资讯台,http://www.372583307.top:4022/udp/233.50.200.192:5140
凤凰资讯台,http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191
凤凰中文台,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰资讯台,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰中文台,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=0
凤凰资讯台,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=1
凤凰中文台,http://113.64.145.195:8081/hls/37/index.m3u8
凤凰中文台,http://50.7.238.114:8278/phoenixtv_hd/playlist.m3u8?tid=MDFD5624054756240547&ct=19235&tsum=3d8e21403954d488cd95d367f1f90d8b
凤凰香港台,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=2
凤凰香港台,http://113.64.145.195:8081/hls/38/index.m3u8
TVB华丽翡翠台,mitv://generationnexxxt.com:19806/0485c5b3e68c43268b39c8e68b0e6244
翡翠台,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=3
翡翠台,http://lbj3.top:9981/stream/channelid/1006188248?profile=pass
TVπ,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
TVπ,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
TVπ,http://ha.jmied.com/aa/aa.m3u8?auth_key=1661958232-0-0-114df08fce17ecb21f6bf42de85e7600
广电翡翠台,http://60.30.198.43:5080/香蕉哥/广电翡翠/hls.m3u8
TVB星河台,http://113.64.145.100:8081/hls/135/index.m3u8#http://113.64.145.61:8081/hls/135/index.m3u8#http://php.jdshipin.com:8880/jydx.php?id=135
TVB无线新闻台,http://137.175.30.127:9080/hls/inews.m3u8
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
TVB翡翠台,http://60.30.198.43:5080/香蕉哥/tvb翡翠/hls.m3u8
TVB翡翠台,http://60.30.198.43:5080/香蕉哥/tvb翡翠2/hls.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVπ,http://lbj3.top:9981/stream/channelid/1120510120?profile=pass
TVB无线新闻台,http://lbj3.top:9981/stream/channelid/1128536396?profile=pass
TVB明珠台,http://lbj3.top:9981/stream/channelid/1338023478?profile=pass
凤凰香港台,http://lbj3.top:9981/stream/channelid/506076355?profile=pass
HOY77,http://lbj3.top:9981/stream/channelid/1174867509?profile=pass
TVB明珠台,http://123.202.245.120:8008/bysid/2
TVπ,http://123.202.245.120:8008/bysid/82
TVB无线新闻台,http://123.202.245.120:8008/bysid/83
香港凤凰,http://123.202.245.120:8008/bysid/85
HOY78,http://123.202.245.120:8009/bysid/78
HOY76,http://123.202.245.120:8009/bysid/76
HOY77 ,http://123.202.245.120:8009/bysid/77
HOY78,http://lbj3.top:9981/stream/channelid/1278580039?profile=pass
HOY76,http://lbj3.top:9981/stream/channelid/984995161?profile=pass
翡翠台,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=4
翡翠台,http://58.87.99.251:8090/HK/tvb/hls.m3u8
TVπ,P2p://generationnexxxt.com:19806/6a623cf5c0bc4c96b8fd45a47af4a872
TVπ,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=5
TVπ,mitv://generationnexxxt.com:19806/6a623cf5c0bc4c96b8fd45a47af4a872
TVπ,mitv://generationnexxxt.com:19806/6a623cf5c0bc4c96b8fd45a47af4a872
TVπ,mitv://generationnexxxt.com:19806/6a623cf5c0bc4c96b8fd45a47af4a872
凤凰香港台,mitv://generationnexxxt.com:19806/8e396c3ec52f4eee9e5b7868042b1bf2
凤凰香港台,mitv://generationnexxxt.com:19806/8e396c3ec52f4eee9e5b7868042b1bf2
翡翠台,http://free.9528.eu.org:9529/stream/hk/test/master.m3u8?u=admin&p=70db29aeaebf312fd2b93d3d69d99a16ad3319d0b354567f2be5c5e91c6be18b
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港文旅,http://ali-play.lezhibo.com:80/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
香港文旅,http://ali-play.lezhibo.com/lezhibo/5143fd45350b4ec69abf1f2c63f421d8.m3u8
香港文旅,http://mywlkj.ddns.net:754/tv/hkstv1.m3u8
香港文旅,http://ali-play.lezhibo.com:80/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
香港文旅,http://ali-play.lezhibo.com:80/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8 
香港文旅,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视,http://171.108.239.95:8181/tsfile/live/1012_1.m3u8
TVB星河国语,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=17
TVB星河国语,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=18
TVB星河台(粤),http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线财经,http://8.134.236.66:45678/ali.hlspull.yximgs.com?id=6 
人間衛視,https://epg.pw/stream/05b9099bef592e55129817a0f82b4cc60378970bc856b993ae9e330e85f4351f.m3u8
华藏净宗频道,https://js1.amtb.cn/liveedge/_definst_/smil:wdmaster.smil/chunklist_b428000.m3u8
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
佛卫慈悲台,mitv://generationnexxxt.com:19806/be70c8b5b35c4551b5c7d3c905234e69
